Track Name,Race Number,Date,Track Miles,Surface,Age,Weather,Track Condition,Race,Horse Name,Jockey,Weight,M/E,PP,Finish,Money Won,Trainer,Owner,Lengths Behind Winner,Length Rating
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Free Drop Billy ,"Ortiz, Jr., Irad",123,L,9,4,"$50,000 "," Romans, Dale", Albaugh Family Stables LLC,4,16
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Blended Citizen ,"Frey, Kyle",123,L b,6,5,"$30,000 "," O'Neill, Doug"," Hall, Greg and SAYJAY Racing, LLC",4.75,23.75
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Kanthaka ,"Leparoux, Julien",123,L,4,6,"$2,223 "," Hollendorfer, Jerry", West Point Thoroughbreds,7.25,43.5
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Tiz Mischief ,"Lanerie, Corey",123,L,8,7,"$2,223 "," Romans, Dale","Frank L. Jones, Jr.",8,56
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Marconi ,"Moore, Ryan",123,L b,5,8,"$2,223 "," Pletcher, Todd"," Bridlewood Farm, Magnier, Mrs. John, Smith, Derrick and Tabor, Michael B.",8,64
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Zing Zang ,"Bridgmohan, Shaun",123,L,1,9,"$2,223 "," Asmussen, Steven", Jackpot Farm,9.25,83.25
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,California Night ,"Graham, James",123,L b,3,10,"$2,223 "," Maker, Michael", Three Diamonds Farm,16.75,167.5
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Gotta Go ,"Landeros, Chris",123,L,7,11,"$2,223 "," Wilkes, Ian"," Lothenbach Stables, Inc.",17.5,192.5
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Machismo ,"Radosevich, Jacob",123,L,12,12,"$2,223 "," Quartarolo, Anthony"," Paolucci, Ron, Quartarolo, Ashley, Ritchie, Raquel and Ritchie, Cristina",20.5,246
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Determinant ,"Gaffalione, Tyler",123,L b,14,13,"$2,223 "," Casse, Mark",John C. Oxley,21.25,276.25
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Arawak ,"De La Cruz, Fernando",123,L b,13,14,"$2,223 "," O'Neill, Doug"," C T R Stables LLC, R3 Racing LLC, and Keh, Steven",28.75,402.5
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Paved ,"Van Dyke, Drayden",117,L b,1,1,"$60,000 "," McCarthy, Michael", Ciaglia Racing LLC and Eclipse Thoroughbred Partners,0,0
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,City Plan ,"Conner, Tyler",122,L b,5,2,"$20,000 "," Harty, Eoin"," Godolphin Racing, LLC",1.25,2.5
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Blended Citizen ,"Frey, Kyle",122,L,2,3,"$12,000 "," O'Neill, Doug"," Hall, Greg and Sayjay Racing, LLC",1.75,5.25
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Mugaritz ,"Gutierrez, Mario",122,Lb,9,4,"$6,000 "," Wong, Jonathan",Alejandro Mercado,4.5,18
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Choo Choo ,"Hernandez, Juan",122,Lb,4,5,"$2,000 "," Hollendorfer, Jerry", Calumet Farm,6.5,32.5
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Could Be the One ,"Antongeorgi III, William",122,L,3,6,$225 ," Steiner, Jack"," Remmah Racing, Inc.",7,42
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Epical ,"Pereira, Tiago",122,L,7,7,$225 ," Cassidy, James", D P Racing,9.5,66.5
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Calexman ,"Quinonez, Alonso",122,Lb,6,8,$225 ," Cerin, Vladimir"," Wilson, Holly and David",10.75,86
GOLDEN GATE FIELDS , Race 7," February 17, 2018 ",One And One Eighth ,All Weather Track,THREE YEAR ,Clear,Fast,El Camino Real Derby Listed - Thoroughbred,Unlawful Act ,"Herrera, Cristobal",122,Lb,8,9,$225 ," Troy, Matthew", Heart Racing Stables,20,180
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Audible ,"Velazquez, John",122,L,8,1,"$595,200 "," Pletcher, Todd"," China Horse Club, Head of Plains Partners LLC, Starlight Racing, WinStar Farm",0,0
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Hofburg ,"Ortiz, Jose",122,L,7,2,"$192,000 "," Mott, William"," Juddmonte Farms, Inc.",3,6
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Mississippi ,"Leparoux, Julien",122,L b,9,3,"$96,000 "," Casse, Mark"," Magnier, M., Tabor, M., Oxley, J., Smith, D. and Jooste, M.",10.75,32.25
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Catholic Boy ,"Ortiz, Jr., Irad",122,L b,6,4,"$48,000 "," Thomas, Jonathan"," LaPenta, Robert V., Madaket Stables LLC and Siena Farm LLC",12,48
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Millionaire Runner ,"Batista, Jose",122,L,2,5,"$28,800 "," Mejia, Jaime", Thoroughbred Champions Training Center LLC,15.75,78.75
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Tip Sheet ,"Zayas, Edgard",122,L,3,6,"$10,000 "," Gold, Stanley", Arindel,31,186
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Storm Runner ,"Gaffalione, Tyler",122,L,5,7,"$10,000 "," Romans, Dale", Team Valor International and Gemstone Racing Stables,32.25,225.75
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Strike Power ,"Saez, Luis",122,L,1,8,"$10,000 "," Hennig, Mark", Courtlandt Farms (Donald and Donna Adam),34.75,278
GULFSTREAM PARK , Race 14," March 31, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Promises Fulfilled ,"Albarado, Robby",122,L f,4,9,"$10,000 "," Romans, Dale",Robert J. Baron,35.25,317.25
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Promises Fulfilled ,"Ortiz, Jr., Irad",116,L f,10,1,"$238,080 "," Romans, Dale",Robert J. Baron,0,0
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Strike Power ,"Saez, Luis",122,L,4,2,"$76,800 "," Hennig, Mark", Courtlandt Farms (Donald and Donna Adam),2.25,4.5
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Good Magic ,"Ortiz, Jose",122,L,6,3,"$38,400 "," Brown, Chad", e Five Racing Thoroughbreds and Stonestreet Stables LLC,4.5,13.5
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Machismo ,"Jimenez, Albin",116,L,9,4,"$19,200 "," Quartarolo, Anthony"," Loooch Racing Stables, Inc. and Quartarolo, Ashley",6.5,26
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Marconi ,"Castellano, Javier",116,L b,8,5,"$11,520 "," Pletcher, Todd"," Bridlewood Farm, Magnier, Mrs. John, Smith, Derrick and Tabor, Michael B.",7.75,38.75
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Gotta Go ,"Landeros, Chris",120,L,7,6,"$4,000 "," Wilkes, Ian"," Lothenbach Stables, Inc.",9,54
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Storm Runner ,"Rosario, Joel",118,L,5,7,"$4,000 "," Romans, Dale", Team Valor International and Gemstone Racing Stables,16.25,113.75
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,He Takes Charge ,"Gaffalione, Tyler",116,L,1,8,"$4,000 "," Casse, Mark"," Schettine, William C. and Oxley, John C.",18.5,148
GULFSTREAM PARK , Race 14," March 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR ,Clear,Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Peppered ,"Juarez, Nik",116,L b,3,9,"$4,000 "," Baker, Reade"," Braverman, Paul and Pinch, Timothy",21.5,193.5
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Enticed ,"Alvarado, Junior",121,L,9,1,"$180,000 "," McLaughlin, Kiaran"," Godolphin Racing, LLC",0,0
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Old Time Revival ,"Rose, Jeremy",117,L,7,2,"$60,000 "," Decker, Kenneth",Fred J. Brei,2.75,5.5
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Free Drop Billy ,"Davis, Dylan",123,L,6,3,"$30,000 "," Romans, Dale", Albaugh Family Stables LLC,6.75,20.25
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Firenze Fire ,"Franco, Manuel",123,L,5,4,"$15,000 "," Servis, Jason", Mr. Amore Stable,9.25,37
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Whereshetoldmetogo ,"Rocco, Jr., Joseph",119,L b,4,5,"$9,000 "," Pecoraro, Anthony", Black Cloud Stable LLC,12.25,61.25
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Cove Blue ,"Landeros, Chris",117,L,2,6,"$1,500 "," Romans, Dale"," Bakke, Jim and Isbister, Gerald",21.25,127.5
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Nine Route ,"Carmouche, Kendrick",117,L,8,7,"$1,500 "," Englehart, Jeremiah", August Dawn Farm,29.25,204.75
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Beautiful Shot ,"Arroyo, Angel",117,L,3,8,"$1,500 "," Desormeaux, J.", Calumet Farm,29.25,234
AQUEDUCT , Race 10," March 10, 2018 ",One,Dirt,THREE YEAR , Cloudy, Fast,Gotham S. Grade 3 - Thoroughbred,Dial Operator ,"McCarthy, Trevor",117,L,1,9,"$1,500 "," Servis, Jason", New Farm,31.25,281.25
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Audible ,"Castellano, Javier",116,L,4,1,"$208,320 "," Pletcher, Todd"," WinStar Farm LLC, China Horse Club International Ltd. and SF Racing LLC",0,0
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Free Drop Billy ,"Saez, Luis",122,L,2,2,"$67,200 "," Romans, Dale", Albaugh Family Stables LLC,5.25,10.5
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Tiz Mischief ,"Albarado, Robby",118,L,7,3,"$33,600 "," Romans, Dale","Frank L. Jones, Jr.",13.25,39.75
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Enticed ,"Rosario, Joel",122,L,1,4,"$16,800 "," McLaughlin, Kiaran"," Godolphin, LLC",14.75,59
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Pony Up ,"Velazquez, John",116,L,8,5,"$10,080 "," Pletcher, Todd", Calumet Farm,20.25,101.25
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Tip Sheet ,"Jaramillo, Emisael",116,L,9,6,"$3,500 "," Gold, Stanley", Arindel,20.25,121.5
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Bandito ,"Zayas, Edgard",116,L,5,7,"$3,500 "," Romans, Dale", Calumet Farm,23.25,162.75
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Master Manipulator ,"Ortiz, Jose",116,L,3,8,"$3,500 "," Guillot, Eric", Calumet Farm and Southern Equine Stable LLC,39.25,314
GULFSTREAM PARK , Race 12," February 3, 2018 ",One And One Sixteenth ,Dirt,THREE YEAR , Cloudy, Fast,Holy Bull S. Grade 2 - Thoroughbred,Aequor ,"Lezcano, Jose",116,L b,10,9,"$3,500 "," Delgado, Gustavo", Grupo 7C Racing Stable,56.75,510.75
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Firenze Fire ,"Franco, Manuel",122,L,7,1,"$90,000 "," Servis, Jason", Mr. Amore Stable,0,0
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Seven Trumpets ,"Lopez, Paco",118,L,2,2,"$30,000 "," Romans, Dale", West Point Thoroughbreds,0.5,1
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Coltandmississippi ,"McCarthy, Trevor",118,L b,1,3,"$15,000 "," Pletcher, Todd", Teresa Viola Racing Stables and St. Elias Stable,5.75,17.25
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Regalian ,"Reyes, Luis",116,L f,3,4,"$7,500 "," Englehart, Chris", Island Wind Racing,6.25,25
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Factor This ,"Davis, Dylan",116,L b,4,5,"$4,500 "," Barker, Edward"," Campbell Road Stables and Chen, Danny J.",10.5,52.5
AQUEDUCT , Race 8," January 13, 2018 ",One,Dirt,THREE YEAR ,Clear,Muddy (Sealed),Jerome S. Listed - Thoroughbred,Glennwood ,"Rocco, Jr., Joseph",118,L b,8,6,"$3,000 "," Wilkinson, Erin"," Moore, Kevin and Myers, Allen R.",18.25,109.5
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Noble Indy ,"Velazquez, John",122,L b,2,1,"$600,000 "," Pletcher, Todd", WinStar Farm LLC and Repole Stable,0,0
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Lone Sailor ,"Graham, James",122,L,8,2,"$200,000 "," Amoss, Thomas", G M B Racing,0,0
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,My Boy Jack ,"Desormeaux, Kent",122,L,9,3,"$100,000 "," Desormeaux, J."," Don't Tell My Wife Stables and Monomoy Stables, LLC",0.75,2.25
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Givemeaminit ,"Castellano, Javier",122,L b,4,4,"$40,000 "," Stewart, Dallas", Valene Farms LLC,8.5,34
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Snapper Sinclair ,"Ortiz, Jose",122,L,7,5,"$20,000 "," Asmussen, Steven", Bloom Racing Stable LLC (Jeffrey Bloom),11.75,58.75
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Hyndford ,"Bravo, Joe",122,L,6,6,"$10,000 "," Pletcher, Todd", Donegal Racing,20,120
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Retirement Fund ,"Bridgmohan, Shaun",122,L,5,7,"$10,000 "," Asmussen, Steven", L and N Racing LLC,21,147
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Bravazo ,"Stevens, Gary",122,L,1,8,"$10,000 "," Lukas, D.", Calumet Farm,21.25,170
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Dark Templar ,"Geroux, Florent",122,L,10,9,"$10,000 "," Walsh, Brendan", Newtown Anner Stud,30,270
FAIR GROUNDS , Race 11," March 24, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Marmello ,"Gilligan, Jack",122,L,3,10,$0 ," Yanakov, Mikhail"," Olympia Star, Inc.",41.5,415
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Instilled Regard ,"Castellano, Javier",116,L,10,1,"$120,000 "," Hollendorfer, Jerry", OXO Equine LLC,0,0
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Principe Guilherme ,"Geroux, Florent",120,L,12,2,"$40,000 "," Asmussen, Steven", Three Chimneys Farm,3.75,7.5
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Snapper Sinclair ,"Beschizza, Adam",122,L,2,3,"$20,000 "," Asmussen, Steven", Bloom Racing Stable LLC (Jeffrey Bloom),4,12
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Zing Zang ,"Bridgmohan, Shaun",116,L,8,4,"$8,000 "," Asmussen, Steven", Jackpot Ranch,7,28
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Kowboy Karma ,"Hernandez, Jr., Brian",120,L b,5,5,"$4,000 "," Jones, J."," Jones, Larry and Cindy and Pressley, Michael",7.5,37.5
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Ebben ,"Lanerie, Corey",122,L,14,6,"$2,000 "," Margolis, Steve",Craig Aguiar,8.75,52.5
FAIR GROUNDS , Race 9," January 13, 2018 ",One Mile and Seventy Yards,Dirt,THREE YEAR ,Clear,Fast,Lecomte S. Grade 3 - Thoroughbred,Prince Lucky ,"Leparoux, Julien",122,L n,13,7,"$2,000 "," Jones, J.",Daniel McConnell,12.25,85.75
