Track Name,Race Number,Date,Year,Track Miles,Surface,Age,Weather,Track Condition,Race,Horse Name,Jockey,Weight,M/E,PP,Finish,Money Won,Trainer,Owner,Lengths Behind Winner
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Maximum Security ,"Saez, Luis",122,L,7,1,"$582,800 "," Servis, Jason"," West, Gary and Mary",0
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Bodexpress ,"Juarez, Nik",122,L,8,2,"$188,000 "," Delgado, Gustavo"," Top Racing, LLC, Global Thoroughbred and GDS Racing Stable",3.5
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Code of Honor ,"Velazquez, John",122,L,9,3,"$94,000 "," McGaughey III, Claude",W.S. Farish,6.75
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Bourbon War ,"Ortiz, Jr., Irad",122,L,4,4,"$47,000 "," Hennig, Mark", Bourbon Lane Stable and Lake Star Stable,7.5
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Current ,"Franco, Manuel",122,L,2,5,"$28,200 "," Pletcher, Todd"," Eclipse Thoroughbred Partners, LaPenta, Robert V. and Dixiana Farms LLC",11.25
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Hidden Scroll ,"Castellano, Javier",122,L,1,6,"$10,000 "," Mott, William"," Juddmonte Farms, Inc.",11.5
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Union's Destiny ,"Reyes, Leonel",122,L,10,7,"$10,000 "," Avila, Juan", Los Samanes LLC,12.75
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Harvey Wallbanger ,"Hernandez, Jr., Brian",122,L,3,8,"$10,000 "," McPeek, Kenneth"," Harold Lerner LLC, AWC Stables, Nehoc Stables, Akman, Scott K., Braverman, Paul, Magdalena Racing and David A. Bernsen, LLC.",14.75
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Everfast ,"Landeros, Chris",122,L,5,9,"$10,000 "," Romans, Dale", Calumet Farm,15
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Garter and Tie ,"Sanchez, Jeffrey",122,L,11,10,"$10,000 "," Nicks, Ralph"," Jacks or Better Farm, Inc.",16.75
GULFSTREAM PARK , Race 14, March 30,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Florida Derby Grade 1 - Thoroughbred,Hard Belle ,"Batista, Jose",122,L,6,11,"$10,000 "," Mejia, Jaime", Thoroughbred Champions Training Center LLC,40.75
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Code of Honor ,"Velazquez, John",116,L,1,1,"$233,120 "," McGaughey III, Claude",W.S. Farish,0
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Bourbon War ,"Ortiz, Jr., Irad",116,L,4,2,"$75,200 "," Hennig, Mark", Bourbon Lane Stable and Lake Star Stable,0.75
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Vekoma ,"Franco, Manuel",122,L,5,3,"$37,600 "," Weaver, George", R. A. Hill Stable and Gatsas Stables,2.75
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Hidden Scroll ,"Rosario, Joel",118,L,7,4,"$18,800 "," Mott, William"," Juddmonte Farms, Inc.",3
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Global Campaign ,"Saez, Luis",116,L bf,8,5,"$11,280 "," Hough, Stanley"," Sagamore Farm, LLC and WinStar Farm, LLC",5.5
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Union's Destiny ,"Jaramillo, Emisael",116,L,11,6,"$4,000 "," Avila, Juan", Los Samanes LLC,6.5
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Signalman ,"Hernandez, Jr., Brian",122,L,6,7,"$4,000 "," McPeek, Kenneth"," Lewis, Tommie M., Crabtree, Steve, Demaree, Dean, Bernsen,David, Chambers, Jim and Magdalena Racing",7
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Everfast ,"Landeros, Chris",116,L,9,8,"$4,000 "," Romans, Dale", Calumet Farm,18.5
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Epic Dreamer ,"Gaffalione, Tyler",116,L,2,9,"$4,000 "," Breen, Kelly"," Epic Racing, LLC",19.75
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Frosted Grace ,"Gonzales, Jonathan",116,L bf,10,10,"$4,000 "," Ritvo, Katherine"," Reeves Thoroughbred Racing and Branch, William",31
GULFSTREAM PARK , Race 13, March 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Clear, Fast,Xpressbet Fountain of Youth S. Grade 2 - Thoroughbred,Gladiator King ,"Solorzano, Jorge",120,L,3,11,"$4,000 "," Mejia, Jaime", Thoroughbred Champions Training Center LLC,33
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Haikal ,"Maragh, Rajiv",120,L,5,1,"$165,000 "," McLaughlin, Kiaran", Shadwell Stable,0
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Mind Control ,"Velazquez, John",123,L,3,2,"$60,000 "," Sacco, Gregory"," Red Oak Stable (Brunetti) and Madaket Stables, LLC",1
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Instagrand ,"Castellano, Javier",123,L,6,3,"$36,000 "," Hollendorfer, Jerry", OXO Equine LLC,1.5
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Much Better ,"Smith, Mike",118,Lb,4,4,"$18,000 "," Baffert, Bob", Three Chimneys Farm,1.5
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Family Biz ,"Carmouche, Kendrick",118,L,1,5,"$12,900 "," Barker, Edward"," Chen, Danny J., Cestaro, James and Campbell Road Stables",6.75
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Tikhvin Flew ,"Davis, Dylan",118,L,8,6,"$3,000 "," Asmussen, Steven", Bloom Racing Stable LLC and Madaket Stables LLC,10.75
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Knicks Go ,"Lezcano, Jose",123,L,2,7,"$3,000 "," Colebrook,Ben", KRA Stud Farm,51
AQUED[ UCT , Race 10, March 9,2019,One, Dirt,THREE YEAR , Clear, Fast,Gotham S. Grade 3 - Thoroughbred,Not That Brady ,"Gutierrez, Reylu",118,L b,7,8,"$3,000 "," Rodriguez, Rudy"," Imperio, Michael, Lianna Stables, Inc., R. A. Hill Stable and Rodriguez, Rudy R.",74.75
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Harvey Wallbanger ,"Hernandez, Jr., Brian",117,L,5,1,"$208,320 "," McPeek, Kenneth"," Harold Lerner LLC, AWC Stables, Nehoc Stables, Akman, Scott K. and Braverman, Paul",0
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Everfast ,"Landeros, Chris",116,L,4,2,"$67,200 "," Romans, Dale", Calumet Farm,1
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Maximus Mischief ,"Ortiz, Jose",122,L,8,3,"$33,600 "," Reid, Jr., Robert", Cash is King LLC and LC Racing,1.25
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Epic Dreamer ,"Ortiz, Jr., Irad",116,L,3,4,"$16,800 "," Breen, Kelly"," Epic Racing, LLC",2.25
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Mihos ,"Velazquez, John",120,L,6,5,"$10,080 "," Jerkens, James", Centennial Farms,3.75
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Garter and Tie ,"Gaffalione, Tyler",120,L b,1,6,"$3,500 "," Nicks, Ralph"," Jacks or Better Farm, Inc.",4.75
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Federal Case ,"Castellano, Javier",116,L,2,7,"$3,500 "," Pletcher, Todd"," Low, Lawana L. and Robert E.",6.5
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Come On Gerry ,"Albarado, Robby",120,L,7,8,"$3,500 "," Romans, Dale", Albaugh Family Stables LLC,24.25
GULFSTREAM PARK , Race 11, February 2,2019,One And One Sixteenth , Dirt,THREE YEAR , Cloudy, Fast,Fasig-Tipton Holy Bull S. Grade 2 - Thoroughbred,Gladiator King ,"Ulloa, Andres",120,L,9,9,"$3,500 "," Mejia, Jaime", Thoroughbred Champions Training Center LLC,28.25
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,By My Standards ,"Saez, Gabriel",122,L,5,1,"$600,000 "," Calhoun, W."," Allied Racing Stable, LLC",0
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Spinoff ,"Velazquez, John",122,L,10,2,"$200,000 "," Pletcher, Todd", Wertheimer and Frere,0.75
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Sueno ,"Lanerie, Corey",122,L,4,3,"$100,000 "," Desormeaux, J.", Silverton Hill LLC,5.75
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Country House ,"Saez, Luis",122,L b,8,4,"$40,000 "," Mott, William"," Shields, Jr., Mrs. J. V., McFadden, Jr., E. J. M. and LNJ Foxwoods",6.5
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Mr. Money ,"Beschizza, Adam",122,L,7,5,"$20,000 "," Calhoun, W."," Allied Racing Stable, LLC",8
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Roiland ,"Graham, James",122,L b,1,6,"$10,000 "," Amoss, Thomas"," Durlacher, James and Mary",8.5
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Bankit ,"Ortiz, Jr., Irad",122,L,9,7,"$10,000 "," Asmussen, Steven", Winchell Thoroughbreds LLC and Willis Horton Racing LLC,9.75
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Hog Creek Hustle ,"Mena, Miguel",122,L f,11,8,"$10,000 "," Foley, Vickie"," Something Special Racing, LLC",11.25
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,War of Will ,"Gaffalione, Tyler",122,L,6,9,"$10,000 "," Casse, Mark",Gary Barber,12
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Limonite ,"Ortiz, Jose",122,L,3,10,$0 ," Asmussen, Steven", Winchell Thoroughbreds LLC and Willis Horton Racing LLC,13
FAIR GROUNDS , Race 13, March 23,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Twinspires.com Louisiana Derby Grade 2 - Thoroughbred,Lemniscate ,"Hernandez, Jr., Brian",122,L,2,11,$0 ," McPeek, Kenneth"," Moulton, Susan, Bernsen, David A. and Magdalena Racing",16.25
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,War of Will ,"Gaffalione, Tyler",122,L,7,1,"$120,000 "," Casse, Mark",Gary Barber,0
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Hog Creek Hustle ,"Geroux, Florent",122,L f,5,2,"$40,000 "," Foley, Vickie"," Something Special Racing, LLC",4
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Manny Wah ,"Hill, Channing",122,L bf,12,3,"$20,000 "," Catalano, Wayne",Susan Moulton,6
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Wicked Indeed ,"Hernandez, Jr., Brian",122,L,1,4,"$8,000 "," Asmussen, Steven", Winchell Thoroughbreds LLC,6.5
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Plus Que Parfait ,"Leparoux, Julien",122,L,11,5,"$4,000 "," Walsh, Brendan"," Imperial Racing, LLC",6.5
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Chase the Ghost ,"Lanerie, Corey",122,L,9,6,"$2,000 "," Stewart, Dallas"," Holy Cow Stable, LLC",6.75
FAIR GROUNDS , Race 12, January 19,2019,One Mile And Seventy Yards, Dirt,THREE YEAR , Clear, Fast,LeComte S. Grade 3 - Thoroughbred,Roiland ,"Graham, James",122,Lb,6,7,"$2,000 "," Amoss, Thomas"," Durlacher, James and Mary",9.75
