m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Gulfport,1/11/2013,,D. Romans,Cracked hind cannon bone,"1st 'n1x' optional claimer (8F - CD, 11/24/12)",???,12/29/12 - GP - 6F - 1:12.40H,,,,,,,,,,,,,,,
Gypsy Ring,8/8/2012,"8, g, Where's the Ring - Gypsy Genna, by Varick",P. Buttigieg,Suspensory,"4th Shepperton (6.5F - WO polytrack, 8/6/12)",???,,,,,,,,,,,,,,,,
Happy Touch,3/2/2011,"6, m, Touch Gold - Adios Meadowlake, by Meadowlake",J. Garoffalo,Lame,"12th $12,500 maiden claimer (6F - GP, 3/2/11)",???,,,,,,,,,,,,,,,,
Hartford,2/11/2014,"3, c, Tapit - Tempting Note, by Editor's Note",T. Pletcher,Grabbed quarter (missed work),"1st maiden special weight (7F - GP, 1/16/14)",???,,,,,,,,,,,,,,,,
Hearts of Red,4/13/2013,"5, m, Lion Heart - Chestnut Way, by Horse Chestnut",R. Nicks,Colic (surgery),"6th Sugar Swirl (6F - GP, 12/8/12)",???,4/7/13 - GP - 5f - 1:01.60B,,,,,,,,,,,,,,,
He's Had Enough,12/18/2013,"4, c, Tapit - Amelia, by Dixieland Band",D. O'Neill,Inflamed ankle (60 days off),"3rd Sam's Town - 7F - DED, 11/23/13)",???,11/17/13 - SA - 5F - 1:01.20H,,,,,,,,,,,,,,,
Hill Road,4/29/2011,"5, m, Bellamy Road - How Could You, by Boundary",S. Lyster,Vets list,,???,2/23/12 - KEE - 4F - 47.40HG,,,,,,,,,,,,,,,
Honor Code,3/23/2014,"3, r, A.P. Indy - Serena's Cat, by Storm Cat",C. McGaughey III,Torn right hind suspensory (60 days off),"2nd 'ANC' allowance (8.5F - GP, 3/12/14",???,,,,,,,,,,,,,,,,
Indianapolis,2/12/2014,"3, c, Medaglia d'Oro - Pretty 'n Smart, by Beau Genius",B. Baffert,Mucous,"1st San Pedro (6F - SA, 1/20/14)",???,,,,,,,,,,,,,,,,
Indy Point,12/29/2013,"5, h, Indygo Shiner - Red Point, by Parade Marshal",R. Mandella,Strained suspensory ligament,"3rd Breeders' Cup Turf (12F turf - SA, 11/2/13)",Retired?,,,,,,,,,,,,,,,,
Infrattini,9/13/2013,"6, g, Include - Casa Frattini, by Mr. Greeley",P. McGee,Ankle chip (surgery),"5th Mineshaft (8.5F - FG, 2/23/13)",???,,,,,,,,,,,,,,,,
Ironman Jon,5/26/2010,"8, h, Mineshaft - Lamington, by Danzig",M. Hushion,Left front foot (anti-inflammatories),"3rd Westchester (8F - BEL, 4/30/10)",???,5/26/10 - BEL - 5F - 59.00H,,,,,,,,,,,,,,,
Ive Struck a Nerve,3/9/2013,"4, c, Yankee Gentleman - Ranaway, by Cryptoclearance",J. Desormeaux,Fractured sesamoid left front ankle (surgery to insert screw),"1st Risen Star (8.5F - FG, 2/23/13)",2014,3/9/13 - FG - 4F - 48.40B,,,,,,,,,,,,,,,
Just Call Kenny,1/8/2014,"3, c, Jump Start - Green Jeans, by Green Dancer",P. McBurney,Condylar fracture right foreleg (surgery),"1st Spectacular Bid (6F - GP, 1/4/14)",?,,,,,,,,,,,,,,,,
Keino West,10/27/2009,"8, g, Kissin Kris - Vanetta Hill, by Crown Attorney",S. Attard,Knee chip (surgery),"1st 'n1x' allowance (9F turf - WO, 9/26/09)",2010,3/17/10 - WO training - 3F - 36.80H,,,,,,,,,,,,,,,
Kesagami,2/10/2013,"9, g, Carson City - Gleaming Glory, by Vigors",G. Kopp,Vanned off with injury,"DNF $5,000 claimer (8F - OP, 2/13/13)",???,,,,,,,,,,,,,,,,
Kevlar Kid,9/30/2011,"7, g, Rock Hard Ten - Lianda, by Danzig",C. Gaines,Bone chip ankle (surgery),"5th Windy Sands (8F - DMR polytrack, 9/3/11)",Spring 2012,9/17/11 - SA - 4F - 49.20H,,,,,,,,,,,,,,,
Key Code,4/21/2011,"6, h, Omega Code - Sister Slim, by Forestry",M. Criollo,Made vet's list 4/21/11, ,???, ,,,,,,,,,,,,,,,
Kings Cove,2/20/2012,"7, g, Indian Ocean - Sweet Zeena, by Straight Man",M. Troche,Returned sore,"4th $8,000 'n3L' claimer (5.5F - TAM, 2/19/12)",???,12/7/11 - CRC - 3F - 39.60BG,,,,,,,,,,,,,,,
Lexie Lou,6/12/2014,"3, f, Sligo Bay - Oneexcessivenite, by In Excess",M. Casse,Bruised foot,"3rd Fury (7F - WO polytrack, 5/10/14)",,,,,,,,,,,,,,,,,
Lighthouse Bay,10/3/2013,"4, f, Speightstown - Pay Lady, by Seeking the Gold",G. Weaver/S. Callaghan,Scraped hocks and stifle + Sore foot + Temperature,"5th Test (7F - SAR, 8/24/13)",La Brea,11/3/13 - SAR training - 4F - 49.60B,,,,,,,,,,,,,,,
Lil' Miss Spitfire,8/5/2011,"6, m, Crimson Classic - Paulene's Smile, by Well Decorated",B. White,Vets list,,???,7/29/11 - HPT - 5F - 1:04.40B,,,,,,,,,,,,,,,
Little Pinkie,2/9/2013,"7, m, Stephen Got Even - Pink Moon, by Exploit",J. Gibson,Right front leg,"DNF optional claimer (8.32F - FG, 2/9/13)",???,,,,,,,,,,,,,,,,
Lucky Culprit,12/13/2011,"5, g, Lucky Pulpit - With Some Luck, by Lear Fan",W. Morey,Displaced tendon sheath left hind leg,"DNF Gold Rush (8F - GG Tapeta, 12/10/11)",Likely career-threatening,12/4/11 - GG - 6F - 1:16.40H,,,,,,,,,,,,,,,
Luxembourg,1/14/2011,"11, h, Wild Rush - Fashion Editor, by Deputy Minister",M. Zweisler,Left front suspensory ligament,"11th $8,000 'n3L' claimer (6.5F - TAM, 1/13/11)",???,,,,,,,,,,,,,,,,
Mallet Man,3/2/2012,"6, h, Came Home - Diaki, by Diesis",H. Hollahan,Vet list,,???,2/15/12 - CRC - 4F - 50.80BG,,,,,,,,,,,,,,,
Mark Valeski,12/5/2013,"5, h, Proud Citizen - Pocho's Dream Girl, by Fortunate Prospect",J. Jones,"Pulled pastern, Swollen ankle + Suspensory","4th Metropolitan (8F - BEL, 5/27/13)",???,,,,,,,,,,,,,,,,
May's Chapel,2013,"4, f, Storm and a Half - Alpine Spring, by Coronado's Quest",?,Injured,,???,1/24/13 - OP - 4F - 51.80B,,,,,,,,,,,,,,,
Mean Green,5/1/2009,"8, h, Trajectory - Emerald Afternoon, by Cabrini Green",S. Attard,Injured,"2nd Kingarvie (8.5F - WO polytrack, 11/29/08)",???,5/31/10 - WO - 3F - 36.40B,,,,,,,,,,,,,,,"
"
Meldrick,3/6/2012,"6, g, Artie Schiller - Maid Service, by Arch",H. Robertson,Undisclosed (vanned off),"DNF 'n1x' allowance (8.5F turf - FG, 3/4/12)",???,2/22/12 - FG - 4F - 51.00B,,,,,,,,,,,,,,,
Midnight Aria,11/6/2013,"4, c, Midnight Lute - Shebandowana, by Mt. Magazine",N. Gonzalez,Strained leg,"1st Queen's Plate (10F - WO polytrack, 7/7/13)",???,,,,,,,,,,,,,,,,
Miner's Reserve,8/30/2010,"7, h, Mineshaft - Royal Reserves, by Forty Niner",N. Zito,Hairline fracture right knee,"7th Travers (10F - SAR, 8/28/10)",???,8/20/10 - SAR training - 4F - 48.20H,,,,,,,,,,,,,,,
Minimast,2/13/2013,"9, g, Mizzen Mast - Mullen Road, by Distant View",J. Cox,Vanned off after race due to undisclosed injury,"7th $5,000 claimer (8F - OP, 2/10/13)",???,,,,,,,,,,,,,,,,
Miss Bonnie,12/15/2011,"6, m, Officer - Deaconess Bonnie, by Pulpit",M. Passero,"Lame left front, Heat in foot", ,???,12/31/11 - TAM - 4F - 50.20B,,,,,,,,,,,,,,,
Miss Netta,2/23/2012,"5, m, Street Sense - Dyna Peak, by Dynaformer",K. McLaughlin,Hairline condylar fracture right front leg (surgery to insert screws),"1st 'n1x' optional claimer (8.5F - GP, 1/5/12)",???,1/28/12 - PMM - 4F - 48.60B,,,,,,,,,,,,,,,
Monksland,3/8/2013,"7, g, Beneficial - Cush Jewel, by Executive Perk",N. Meade,Undisclosed,"1st Christmas Hurdle (24F - LEO, 12/28/12)",Europe,,,,,,,,,,,,,,,,
Monsoor,2/4/2010,"9, h, Mt. Livermore - Ghost Bell, by Silver Ghost",D. Delahoussaye/M. Wedig,Lame,"1st $5,000CN1Y (6F - PEN, 11/11/09)",Privately sold,11/6/09 - PEN - 4F - 49.40H,,,,,,,,,,,,,,,
Monterosso,3/30/2013,"7, h, Dubawi - Porto Roca, by Barathea",M. Al Zarooni,Lame left fore  ,"10th Al Maktoum Challenge Round 3 (10F - MEY Tapeta, 3/9/13)",Europe/Dubai,,,,,,,,,,,,,,,,
Mr. Chairman,2/2/2009,"11, g, Unusual Heat - Chairwoman, by Corporate Report",D. O'Neill,"Left hind ankle (surgery, two screws inserted)","6th Sunshine Millions Turf (9F turf - SA, 1/24/09)",???,6/6/11 - SA - 3F - 35.40H,,,,,,,,,,,,,,,
Mr. Gruff,4/14/2012,"10, g, Mr. Greeley - Ruff, by Clever Trick",R. Ellis,Bruised foot,"1st Joe Hernandez (A6.5F turf - SA, 3/4/12)",???,3/30/12 - HOL - 5F - 1:01.80H,,,,,,,,,,,,,,,
Mucho Macho Man,6/13/2014,"6, h, Macho Uno - Ponche de Leona, by Ponche",K. Ritvo,Bruised hind ankles,"4th Santa Anita Handicap (10F - SA, 3/8/14)",,,,,,,,,,,,,,,,,
My Miss Aurelia,9/23/2013,"5, m, Smart Strike - My Miss Storm Cat, by Sea of Secrets",S. Asmussen/T. Pletcher,Bruised foot + Shed frog left front foot,"3rd Azeri (8.5F - OP, 3/16/13)",???,,,,,,,,,,,,,,,,
My My My Maria,3/15/2013,"6, m, Cuvee - Wild for Sure, by Wild Rush",T. Glyshaw,"Condylar fracture front leg (surgery, two screws)","2nd optional claimer (8F turf - FG, 3/8/13)",???,,,,,,,,,,,,,,,,
Nashoba Express,8/6/2009,"8, h, In Excess - Nashoba, by Caerleon",C. Gaines, Suspensory,"2nd 'n1x' optional claimer (8F turf - HOL, 7/2/09)",???,12/11/10 - SA - 4F - 53.40H,,,,,,,,,,,,,,,
New York Latte,2/16/2012,"7, m, Cappuchino -  New York  Melody, by Irish Conquest",,Bled workout   ,,???,2/24/12 - TAM - 4F - 51.00B,,,,,,,,,,,,,,,
Nijinsky's Song,10/1/2011,"6, h, Unbridled's Song - Rubywood, by Woodman",M. Harrington,Soft-tissue injury right front leg,"8th Goodwood (9F - SA, 10/1/11)",???,9/25/11 - HOL - 5F - 1:00.40H,,,,,,,,,,,,,,,
Nonios,1/8/2013,"5, h, Pleasantly Perfect - Stylish Manner, by Touch Gold",J. Hollendorfer,Unspecified      ,"2nd Native Diver (9F - BHP cushion track, 12/1/12)",???,,,,,,,,,,,,,,,,
Norvsky,10/10/2012,"8, g, Vronsky - Fimbrelith, by Flying Paster",D. Warren,Strained check ligament,"DNF Ralph M. Hinds (9F - FPX, 9/23/12)",???,,,,,,,,,,,,,,,,
Novellist,10/9/2013,"5, h, Monsun - Night Lagoon, by Lagunas",A. Wohler,Illness,1st Groser Preis Von Baden (12F turf - BADEN-BADEN),Japan Cup?,,,,,,,,,,,,,,,,
Ordak Dan,10/18/2013,"6, h, Hidden Truth - Duna Ter, by Sir Chester",C. Carabajal,Undisclosed,"1st 25 de Mayo Stakes (12F turf - SAN ISIDRO, 5/25/13)",South America?,,,,,,,,,,,,,,,,
Organisedconfusion,2/4/2013,"9, g, Laveron - Histologie, by Quart de Vin",A. Moore,Hairline fracture off-hind pastern bone,"9th Leopardstown Handicap Chase (21F - LEO, 1/26/13)",2014 - Europe,,,,,,,,,,,,,,,,
Our Shootin Star,1/31/2013,"5, m, Our New Recruit - Morning Addiction, by Forestry",S. Martinez,Unsound left foreleg (vanned off),"9th $30,000 maiden claimer (6F - SA, 1/31/13)",???,1/20/13 - SA - 3F - 34.40H,,,,,,,,,,,,,,,
Palace,3/12/2014,"5, h, City Zip - Receivership, by End Sweep",L. Rice,Bled,"4th General George (7F - LRL, 2/17/14)",???,,,,,,,,,,,,,,,,
Papaw Bodie,8/8/2012,"7, g, Strong Hope - Trillion Wing, by In the Wings",M. Maker,Condylar Fracture (surgery),"2nd Manhattan (10F - BEL, 6/9/12)",2013,,,,,,,,,,,,,,,,
