Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0046,"Claiborne Farm, Agent","","Courtesan","02/28/2011","B",Mare,"Street Sense","Lady Discreet","Mastery","05/15/2018","pregnant","Broodmare","J.S. Company, Limited",250000
1,0047,"Select Sales, Agent LX","","Exaggerator --- Courtly Choice","03/21/2018","B",Filly,"Exaggerator","Courtly Choice","","","","Weanling","Out",0
1,0048,"Hunter Valley Farm, Agent","","Into Mischief --- Coy Cat","03/09/2018","B",Colt,"Into Mischief","Coy Cat","","","","Weanling","Out",0
1,0049,"Taylor Made Sales Agency, Agent CIII","","Dakota Queen","05/10/2012","GR/RO",Mare,"War Front","Moon Queen (IRE)","Union Rags","04/28/2018","pregnant","Broodmare","*RNA (120,000)",---
1,0050,"Glennwood Farm Inc., Agent","","Tapit --- Dance With Another (IRE)","03/22/2018","GR/RO",Colt,"Tapit","Dance With Another (IRE)","","","","Weanling","Stephen Irwin et al",400000
1,0051,"Brookdale Sales, Agent for Jack Swain","","American Pharoah --- Dancing General","04/04/2018","CH",Colt,"American Pharoah","Dancing General","","","","Weanling","Out",0
1,0052,"Eaton Sales, Agent","","American Pharoah --- D'cats Meow","02/03/2018","CH",Filly,"American Pharoah","D'cats Meow","","","","Weanling","Out",0
1,0053,"Brookdale Sales, Agent","","Democrat Taxes","02/01/2005","CH",Mare,"Catienus","Annual Dues","Dialed In","06/03/2018","pregnant","Broodmare","*RNA (140,000)",---
1,0054,"Bill Murphy, Agent IV","","Into Mischief --- Donna D","03/11/2018","B",Filly,"Into Mischief","Donna D","","","","Weanling","Hunter Valley Farm",200000
1,0055,"Eaton Sales, Agent","","Giant's Causeway --- Donnie's Secret","03/12/2018","CH",Filly,"Giant's Causeway","Donnie's Secret","","","","Weanling","Paca Paca Farm",110000
1,0056,"Taylor Made Sales Agency, Agent XCIII","","Into Mischief --- Downside Scenario","02/18/2018","B",Colt,"Into Mischief","Downside Scenario","","","","Weanling","Shadwell Estate Company, Ltd.",425000
1,0057,"Taylor Made Sales Agency, Agent for Phoenix","Thoroughbred (III) Ltd.","Dream Tree","02/08/2015","B",Filly,"Uncle Mo","Afleet Maggi","","","","Racing or Broodmare Prospect","Out",0
1,0058,"Hill 'n' Dale Sales Agency, Agent","","War Front --- Drifting Cube (AUS)","03/07/2018","B",Filly,"War Front","Drifting Cube (AUS)","","","","Weanling","Solis/Litt",525000
1,0059,"Glennwood Farm Inc., Agent","","Tiznow --- Dynabunny","05/02/2018","DB/BR",Filly,"Tiznow","Dynabunny","","","","Weanling","*RNA (17,000)",---
1,0060,"Eaton Sales, Agent","","Easy Feeling","05/05/2012","B",Mare,"Elusive Quality","Wonder Woman","Uncle Mo","02/21/2018","pregnant","Broodmare","T & G Farm of Kentucky, LLC",350000
1,0061,"Taylor Made Sales Agency, Agent LXIX","","California Chrome --- Edit","04/07/2018","GR/RO",Filly,"California Chrome","Edit","","","","Weanling","Old Chapel Farm",175000
1,0062,"ELiTE","","Elysea's World (IRE)","04/04/2013","B",Mare,"Champs Elysees (GB)","Ideal World (IRE)","","","","Racing or Broodmare Prospect","Abbondanza Racing",500000
1,0063,"Select Sales, Agent LXII","","Estrechada (ARG)","08/28/2011","DB/BR",Mare,"Offlee Wild","Escayola (ARG)","","","","Broodmare Prospect","*RNA (90,000)",---
1,0064,"Eaton Sales, Agent","","Uncle Mo --- Feathered Diamond","01/19/2018","B",Filly,"Uncle Mo","Feathered Diamond","","","","Weanling","*RNA (140,000)",---
1,0065,"Taylor Made Sales Agency, Agent LXVII","","Not This Time --- Fiery Pulpit","01/29/2018","CH",Colt,"Not This Time","Fiery Pulpit","","","","Weanling","Alan Sherman, Agent",100000
1,0066,"Lane's End, Agent","","Flash Forward","03/28/2010","CH",Mare,"Curlin","Magical Flash","Arrogate","05/03/2018","pregnant","Broodmare","Out",0
1,0067,"Burleson Farms, Agent","","Nyquist --- Flat Screen","04/24/2018","CH",Colt,"Nyquist","Flat Screen","","","","Weanling","Allure Bloodstock",200000
1,0068,"Eaton Sales, Agent","","Flautist","03/02/2014","DB/BR",Mare,"First Defence","Flute","Into Mischief","03/14/2018","pregnant","Broodmare","*RNA (285,000)",---
1,0069,"Hunter Valley Farm, Agent","","Speightstown --- Flip Flop (FR)","04/16/2018","CH",Colt,"Speightstown","Flip Flop (FR)","","","","Weanling","Shadwell Estate Company, Ltd.",360000
1,0070,"Beau Lane Bloodstock, Agent","","Flora Dora","03/29/2013","CH",Mare,"First Dude","Aidan","","","","Broodmare Prospect","Out",0
1,0071,"Hill 'n' Dale Sales Agency, Agent","","Galileo's Song (IRE)","02/27/2013","B",Mare,"Galileo (IRE)","Song to Remember","Curlin","02/26/2018","pregnant","Broodmare","Shimokobe Farm/ Polo Green Stable, Agent",1000000
1,0072,"St. George Sales, Agent XXI","","Speightstown --- General Jeanne","03/27/2018","DB/BR",Filly,"Speightstown","General Jeanne","","","","Weanling","Maverick Racing",250000
1,0073,"Hill 'n' Dale Sales Agency, Agent","","Curlin --- Global Gold","01/25/2018","DB/BR",Colt,"Curlin","Global Gold","","","","Weanling","Mike Ryan, Agent",350000
1,0074,"Four Star Sales, Agent","","Uncle Mo --- Gloomy I'm Knot","02/07/2018","B",Colt,"Uncle Mo","Gloomy I'm Knot","","","","Weanling","Renee Dailey, Agent",450000
1,0075,"Taylor Made Sales Agency, Agent LX","","Into Mischief --- Glorious Sky","03/04/2018","B",Colt,"Into Mischief","Glorious Sky","","","","Weanling","Out",0
1,0076,"Taylor Made Sales Agency, Agent XXV","","Glory","02/13/2012","B",Mare,"Tapit","Ki Maniere (IRE)","Union Rags","03/28/2018","pregnant","Broodmare","Grandview Equine LP",325000
1,0077,"Four Star Sales, Agent","","Gold Beach","02/18/2014","CH",Mare,"Tapit","Boston Lady","Curlin","02/22/2018","pregnant","Broodmare","Hunter Valley Farm",375000
1,0078,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I","","Goldena Podkove","05/12/2010","DB/BR",Mare,"War Pass","Get Lucky","Quality Road","05/18/2018","pregnant","Broodmare","*RNA (425,000)",---
1,0079,"Gainesway, Agent V","","Tapit --- Gold Mover","03/22/2018","CH",Colt,"Tapit","Gold Mover","","","","Weanling","High Flyer Stables",250000
1,0080,"Taylor Made Sales Agency, Agent CIII","","Gracie Square","03/03/2010","GR/RO",Mare,"Awesome Again","Starry Dreamer","Uncle Mo","05/03/2018","pregnant","Broodmare","*RNA (170,000)",---
1,0081,"Ballysax Bloodstock, Agent for HnR Nothhaft Horseracing LLC","","Verrazano --- Halljoy (IRE)","03/24/2018","CH",Filly,"Verrazano","Halljoy (IRE)","","","","Weanling","Out",0
1,0082,"Paramount Sales, Agent V","","Curlin --- Harriett Lane","02/26/2018","CH",Colt,"Curlin","Harriett Lane","","","","Weanling","Albaugh Family Stable / Kempton, Agent",360000
1,0083,"Hunter Valley Farm, Agent","","American Pharoah --- Henny Jenney","01/25/2018","B",Colt,"American Pharoah","Henny Jenney","","","","Weanling","*RNA (375,000)",---
1,0084,"Paramount Sales, Agent XCII","","High Wire","02/13/2009","CH",Mare,"Street Cry (IRE)","Awe That","Uncaptured","04/22/2018","pregnant","Broodmare","Yushun Company",150000
1,0085,"Hill 'n' Dale Sales Agency, Agent","","Pioneerof the Nile --- Hooh Why","03/12/2018","B",Colt,"Pioneerof the Nile","Hooh Why","","","","Weanling","Andrew Williams Bloodstock",200000
1,0086,"Select Sales, Agent I","","Candy Ride (ARG) --- Hopeoverexperience","04/04/2018","DB/BR",Filly,"Candy Ride (ARG)","Hopeoverexperience","","","","Weanling","Out",0
1,0087,"Taylor Made Sales Agency, Agent CCIV","","Inconclusive","02/14/2013","CH",Mare,"Include","Ani La","Pioneerof the Nile","03/22/2018","pregnant","Broodmare","Spendthrift Farm LLC",350000
1,0088,"Four Star Sales, Agent","","Inlovewithlove","04/02/2007","B",Mare,"Bernstein","Not a Solution","Curlin","02/23/2018","pregnant","Broodmare","SF Bloodstock",230000
1,0089,"James B. Keogh (Grovendale), Agent XIII","","Innocent Love","04/20/2010","B",Mare,"Grand Slam","Rich in Love","Nyquist","02/18/2018","pregnant","Broodmare","N W Management, Agent",90000
1,0090,"Paramount Sales, Agent XIII","","Into Mischief --- In Spite of Mama","02/06/2018","DB/BR",Colt,"Into Mischief","In Spite of Mama","","","","Weanling","*RNA (300,000)",---
1,0091,"Taylor Made Sales Agency, Agent CXXXVIII","","Insta Erma","03/13/2013","B",Mare,"Pioneerof the Nile","Enchanted Woods","","","","Racing or Broodmare Prospect","SF Bloodstock & Newgate Farm",425000
1,0092,"Taylor Made Sales Agency, Agent CXI","","Instant Reflex","03/23/2014","DB/BR",Filly,"Quality Road","Without Delay","","","","Racing or Broodmare Prospect","Out",0
1,0093,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent I","","Interrupted","03/19/2011","B",Mare,"Broken Vow","Alternate","Distorted Humor","03/15/2018","pregnant","Broodmare","Summer Wind Equine",575000
1,0094,"Taylor Made Sales Agency, Agent CX","","In the Moonlight","02/14/2015","GR/RO",Filly,"Tapit","Moonlight Sonata","","","","Racing or Broodmare Prospect","Thomas Clark, Agent",100000
1,0095,"Hunter Valley Farm, Agent","","Medaglia d'Oro --- Inventive","02/12/2018","DB/BR",Colt,"Medaglia d'Oro","Inventive","","","","Weanling","Murphy Bloodstock, Ltd.",385000
1,0096,"Hunter Valley Farm, Agent","","Inventive","03/06/2005","B",Mare,"Dixie Union","Original","Quality Road","05/02/2018","pregnant","Broodmare","*RNA (700,000)",---
1,0097,"Eaton Sales, Agent","","Uncle Mo --- Irish Lights (AUS)","03/22/2018","DB/BR",Colt,"Uncle Mo","Irish Lights (AUS)","","","","Weanling","Out",0
1,0098,"Hunter Valley Farm, Agent","","American Pharoah --- Jemima's Pearl","03/11/2018","B",Filly,"American Pharoah","Jemima's Pearl","","","","Weanling","Gary Contessa, Agent",175000
1,0099,"Hunter Valley Farm, Agent","","Jemima's Pearl","04/15/2009","B",Mare,"Distorted Humor","Jemima (GB)","Gun Runner","04/03/2018","pregnant","Broodmare","Gulf Coast Stables",110000
1,0100,"Paramount Sales, Agent IX","","Jeremy's Legacy (IRE)","04/16/2013","B",Mare,"Jeremy","Altogether (IRE)","American Pharoah","02/22/2018","pregnant","Broodmare","*RNA (335,000)",---
1,0101,"Denali Stud (Craig & Holly Bandoroff), Agent XII","","Juno (BRZ)","09/07/2012","CH",Mare,"Setembro Chove (BRZ)","Irmadohomemra","Animal Kingdom","03/31/2018","pregnant","Broodmare","*RNA (185,000)",---
1,0102,"Four Star Sales, Agent for Dixiana Farms, LLC","","Kitten's Joy --- K. D.'s Shady Lady","05/02/2018","GR/RO",Filly,"Kitten's Joy","K. D.'s Shady Lady","","","","Weanling","Out",0
1,0103,"Denali Stud (Craig & Holly Bandoroff), Agent LIV","","American Pharoah --- Keertana","02/12/2018","B",Filly,"American Pharoah","Keertana","","","","Weanling","*RNA (360,000)",---
1,0104,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Candy Ride (ARG) --- Kenny Lane","04/27/2018","DB/BR",Colt,"Candy Ride (ARG)","Kenny Lane","","","","Weanling","*RNA (190,000)",---
1,0105,"Eaton Sales, Agent","","Key To My Heart (IRE)","03/07/2014","B",Mare,"Galileo (IRE)","A Z Warrior","War Front","03/18/2018","pregnant","Broodmare","Summer Wind Equine",1750000
1,0106,"Ballysax Bloodstock, Agent for HnR Nothhaft Horseracing LLC","","Pioneerof the Nile --- Kindle","04/14/2018","B",Colt,"Pioneerof the Nile","Kindle","","","","Weanling","HnR Nothhaft Horse Racing LLC",375000
1,0107,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Kirby's Penny","04/09/2013","DB/BR",Mare,"Macho Uno","Spirit Seeker","","","","Racing or Broodmare Prospect","Juddmonte Farms",525000
1,0108,"Taylor Made Sales Agency, Agent for Town & Country","Horse Farms, LLC","Frosted --- Kiss the Lady","04/06/2018","DB/BR",Filly,"Frosted","Kiss the Lady","","","","Weanling","Out",0
1,0109,"Taylor Made Sales Agency, Agent CLXXII","","La Boheme","04/14/2010","CH",Mare,"Giant's Causeway","Raspberry Eggcream","Battle of Midway","02/22/2018","pregnant","Broodmare","Out",0
1,0110,"Woods Edge Farm (Peter O'Callaghan), Agent III","","Lady Digger","03/04/2013","CH",Mare,"Yankee Gentleman","Desert Digger","Malibu Moon","03/24/2018","pregnant","Broodmare","Dr. Naveed Chowhan",235000
1,0111,"Hill 'n' Dale Sales Agency, Agent","","Lady Eli","02/02/2012","DB/BR",Mare,"Divine Park","Sacre Coeur","War Front","04/04/2018","pregnant","Broodmare","John G Sikura/ Hill N Dale",4200000
1,0112,"ELiTE","","Lady Ivanka","02/10/2015","B",Filly,"Tiz Wonderful","Lady Leftennant","","","","Racing or Broodmare Prospect","Katsumi Yoshida",725000
1,0113,"Select Sales, Agent XIII","","Lady Sabelia","05/14/2010","DB/BR",Mare,"Majestic Warrior","Terra Maria","Mastery","04/04/2018","pregnant","Broodmare","Breeze Easy",225000
1,0114,"Paramount Sales, Agent LIII","","Bernardini --- Lady Struck Gold","03/20/2018","DB/BR",Colt,"Bernardini","Lady Struck Gold","","","","Weanling","Out",0
1,0115,"Taylor Made Sales Agency, Agent XCIII","","California Chrome --- Laffina","03/05/2018","DB/BR",Colt,"California Chrome","Laffina","","","","Weanling","Out",0
1,0116,"Taylor Made Sales Agency, Agent CXCI","","Laney","03/29/2014","CH",Filly,"Shackleford","Croon","","","","Racing or Broodmare Prospect","Blue Sky Bloodstock",135000
1,0116A,"Eaton Sales, Agent","","Tapit --- La Verdad","03/15/2018","GR/RO",Filly,"Tapit","La Verdad","","","","Racing or Broodmare Prospect","Whisper Hill Farm  LLC & Three Chimneys Farm",800000
1,0117,"Select Sales, Agent I","","Layreebelle","05/14/2006","DB/BR",Mare,"Tale of the Cat","Voodoo Lily","Into Mischief","04/08/2018","pregnant","Broodmare","*RNA (525,000)",---
1,0118,"Glennwood Farm Inc., Agent","","Speightstown --- Lemon Gin","02/24/2018","CH",Filly,"Speightstown","Lemon Gin","","","","Weanling","Shadwell Estate Company, Ltd.",500000
1,0119,"Taylor Made Sales Agency, Agent XIV","","Libby's Tail","02/22/2014","DB/BR",Filly,"Tiz Wonderful","Christmas Lily","","","","Racing or Broodmare Prospect","*RNA (110,000)",---
1,0120,"Millford Farm (Robert S. West, Jr.)","","Life's a Gamble","03/22/2015","GR/RO",Mare,"Malibu Moon","Holy Princess","Medaglia d'Oro","04/08/2018","pregnant","Broodmare","SF Bloodstock",220000
1,0121,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Lily Pod","04/08/2012","B",Mare,"Bernstein","Count to Eleven","Tonalist","04/01/2018","pregnant","Broodmare","*RNA (195,000)",---
1,0122,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Orb --- Lily Pod","03/05/2018","DB/BR",Filly,"Orb","Lily Pod","","","","Weanling","Beryl Stokes, Jr.",40000
1,0123,"ELiTE","","Lipstick City","03/26/2014","DB/BR",Filly,"City Zip","Star Torina","","","","Racing or Broodmare Prospect","*RNA (235,000)",---
1,0124,"Eaton Sales, Agent","","Quality Road --- Litigating","04/13/2018","B",Colt,"Quality Road","Litigating","","","","Weanling","Out",0
1,0125,"Taylor Made Sales Agency, Agent LXXVII","","Little Swoon","03/25/2005","DB/BR",Mare,"You and I","Littlesuruki","Malibu Moon","03/25/2018","pregnant","Broodmare","Sallusto & Albina Agents",240000
1,0126,"Eaton Sales, Agent","","Into Mischief --- Loure","02/12/2018","B",Colt,"Into Mischief","Loure","","","","Weanling","Out",0
1,0127,"Eaton Sales, Agent","","Lovely Bernadette","03/13/2014","B",Filly,"Wilburn","Inlovewithlove","","","","Racing or Broodmare Prospect","Shadai Farm",750000
1,0128,"Gainesway, Agent for Bonne Chance Farm, LLC","","Lucas Street","03/03/2004","CH",Mare,"Silver Deputy","Ruby Park","Arrogate","03/06/2018","pregnant","Broodmare","*RNA (335,000)",---
1,0129,"Denali Stud (Craig & Holly Bandoroff), Agent XVI","","Lunar Gaze","01/24/2012","B",Mare,"Malibu Moon","Saarlight","Pioneerof the Nile","02/18/2018","pregnant","Broodmare","Waymore, LLC",450000
1,0130,"Paramount Sales, Agent XV","","Luxury (IRE)","05/26/2013","B",Mare,"Galileo (IRE)","Helsinki (GB)","War Front","03/04/2018","pregnant","Broodmare","Out",0
1,0131,"Hill 'n' Dale Sales Agency, Agent","","American Pharoah --- Maggie d'Oro","04/23/2018","DB/BR",Colt,"American Pharoah","Maggie d'Oro","","","","Weanling","Out",0
1,0132,"Mulholland Springs, Agent V","","Majestic Bonnie","05/12/2014","CH",Mare,"Majestic Warrior","Fancy Point","Candy Ride (ARG)","04/27/2018","pregnant","Broodmare","Out",0
1,0133,"Taylor Made Sales Agency, Agent CCXIX","","California Chrome --- Make Light","03/17/2018","B",Colt,"California Chrome","Make Light","","","","Weanling","Out",0
1,0134,"Taylor Made Sales Agency, Agent CXI","","Malibu Model","05/02/2013","DB/BR",Mare,"Malibu Moon","Runway Model","Curlin","03/24/2018","pregnant","Broodmare","Summer Wind Equine",750000
1,0135,"Denali Stud (Craig & Holly Bandoroff), Agent XXX","","Maya Malibu","03/22/2015","B",Filly,"Malibu Moon","Island Sand","","","","Racing or Broodmare Prospect","Fleetwood for Sea Horse Breeders, LLC",575000
1,0136,"Taylor Made Sales Agency, Agent LXXXVIII","","Meanie Irenie","05/20/2014","B",Mare,"Henny Hughes","Playcaller","Malibu Moon","04/14/2018","pregnant","Broodmare","*RNA (185,000)",---
1,0137,"Eaton Sales, Agent","","Media Mischief","02/20/2014","B",Mare,"Into Mischief","Media Nox (GB)","Pioneerof the Nile","02/27/2018","pregnant","Broodmare","*RNA (475,000)",---
1,0138,"Hill 'n' Dale Sales Agency, Agent","","War Front --- Mei Ling","01/17/2018","B",Filly,"War Front","Mei Ling","","","","Weanling","Out",0
1,0139,"Lane's End, Agent","","Mezinka","04/02/2015","B",Mare,"Bodemeister","Star of Goshen","Uncle Mo","04/17/2018","pregnant","Broodmare","Magna Carta Bloodstock",300000
1,0140,"Taylor Made Sales Agency, Agent CXV","","Midnight On Oconee","03/15/2013","DB/BR",Mare,"Midnight Lute","Just Fabulous","Arrogate","02/13/2018","pregnant","Broodmare","Spendthrift Farm LLC",425000
1,0141,"Taylor Made Sales Agency, Agent CII","","Mokat","02/22/2013","DB/BR",Mare,"Uncle Mo","Flashy Frolic","Medaglia d'Oro","02/28/2018","pregnant","Broodmare","Springhouse Farm",800000
1,0142,"Lane's End, Agent","","Money'soncharlotte","03/10/2012","B",Mare,"Mizzen Mast","Something Wicked","Arrogate","02/25/2018","pregnant","Broodmare","Katsumi Yoshida",625000
1,0143,"Claiborne Farm, Agent","","Moondance","03/16/2014","B",Mare,"Malibu Moon","Red Hot Bertie","Mastery","04/16/2018","pregnant","Broodmare","West Bloodstock /Repole Stables",340000
