Winning Horse Name,Sire Name,Race Date,Track,Purse,Race Name,Grade,"Speed
Rating","Class 
Rating",,,,
Cross the Line,Line of David,01-17-15,Golden Gate Fields,"$100,000",California Derby,,89,116.6,,,,
Edplicit,Explicit,01-17-15,Sam Houston,"$50,000",Spirit of Texas S.,,89,115.9,,,,
F J Uncle Vic,Uncle Abbie,01-17-15,Sam Houston,"$50,000",Star of Texas S.,,89,116.1,,,,
Manchurian High,The Daddy,01-17-15,Gulfstream Park,"$100,000",Florida Sunshine Millions Turf S.,,87,120.5,,,,
Pink Poppy,Tiznow,01-17-15,Gulfstream Park,"$100,000",Florida Sunshine Millions Filly and Mare Turf S.,,85,119.8,,,,
Fly the Red Eye,Early Flyer,01-17-15,Sam Houston,"$50,000",Richard King S.,,84,115,,,,
Southern Fire,Southwestern Heat,01-17-15,Sunland Park,"$85,000",Pepsi Cola S.,,81,112.7,,,,
Kitten's Point,Kitten's Joy,01-18-15,Santa Anita Park,"$75,000",Astra S.,,100,119.4,,,,
Captain Serious,Successful Appeal,01-18-15,Aqueduct,"$100,000",Hollie Hughes S.,,100,119.5,,,,
Micromanage,Medaglia d'Oro,01-19-15,Aqueduct,"$100,000",Jazil S.,,103,120,,,,
Sam's Sister,Brother Derek,01-19-15,Santa Anita Park,"$200,000",Santa Monica S.,2,96,121.9,,,,
Far Right,Notional,01-19-15,Oaklawn Park,"$150,000",Smarty Jones S.,,92,117.6,,,,
Upstart,Flatter,01-24-15,Gulfstream Park,"$400,000",Holy Bull S.,2,105,121.9,,,,
Lochte,Medaglia d'Oro,01-24-15,Tampa Bay Downs,"$150,000",Tampa Bay S.,3,101,119.6,,,,
Spirit Rules,Tribal Rule,01-24-15,Santa Anita Park,"$150,000",Donald Valpredo California Cup Sprint S.,,100,118.7,,,,
Star Harbour,Indian Charlie,01-24-15,Tampa Bay Downs,"$100,000",Pelican S.,,99,119.9,,,,
Barbados,Speightstown,01-24-15,Gulfstream Park,"$150,000",Hutcheson S.,3,98,118.4,,,,
Cassatt,Tapit,01-24-15,Sam Houston,"$400,000",Houston Ladies Classic S.,,96,119.7,,,,
Coalport,Kitten's Joy,01-24-15,Sam Houston,"$200,000",John B. Connally Turf Cup S.,3,96,119.3,,,,
Exodus,Medaglia d'Oro,01-24-15,Sam Houston,"$50,000",Allen's Landing S.,,95,117.8,,,,
Mischief Clem,Papa Clem,01-24-15,Santa Anita Park,"$250,000",California Cup Derby,,95,119.6,,,,
Heitai,Fusaichi Pegasus,01-24-15,Sam Houston,"$75,000",Frontier Utilities Turf Sprint S.,,95,117.2,,,,
Double Secret,Double Honor,01-24-15,Tampa Bay Downs,"$100,000",Lightning City S.,,95,119.4,,,,
Go West Marie,Western Fame,01-24-15,Santa Anita Park,"$150,000",Sunshine Millions Filly and Mare Turf Sprint S.,,95,120.2,,,,
Alert Bay,City Zip,01-24-15,Santa Anita Park,"$250,000",California Cup Turf Classic S.,,94,119.1,,,,
Birdatthewire,Summer Bird,01-24-15,Gulfstream Park,"$200,000",Forward Gal S.,2,94,121.4,,,,
Sugar Shock,Candy Ride (ARG),01-24-15,Oaklawn Park,"$100,000",American Beauty S.,,93,120,,,,
Castletown,Orientate,01-24-15,Turf Paradise,"$35,000",Swift S.,,91,117.9,,,,
Singing Kitty,Ministers Wild Cat,01-24-15,Santa Anita Park,"$200,000",California Cup Oaks,,89,115.5,,,,
Cinco Charlie,Indian Charlie,01-24-15,Sunland Park,"$100,000",Riley Allison S.,,88,116.7,,,,
Dubai Sky,Candy Ride (ARG),01-24-15,Gulfstream Park,"$100,000",Kitten's Joy S.,,87,116,,,,
Consumer Credit,More Than Ready,01-24-15,Gulfstream Park,"$100,000",Sweetest Chant S.,3,86,116.3,,,,
Pure Tactics,Pure Prize,01-25-15,Santa Anita Park,"$75,000",Clocker's Corner S.,,97,119,,,,
Sportive,Bellamy Road,01-25-15,Portland Meadows,"$35,000",Portland Mile H.,,89,115.4,,,,
Perfect Style,Majesticperfection,01-25-15,Sunland Park,"$50,000",El Paso Times H.,,81,115.6,,,,
Lady Shipman,Midshipman,01-27-15,Ocala Training Center,"$50,000",OBS Sprint S.,,97,117,,,,
It's Not Me,D'wildcat,01-27-15,Ocala Training Center,"$50,000",OBS Sprint S.,,93,117.1,,,,
Firespike,Flower Alley,01-27-15,Ocala Training Center,"$100,000",OBS Championship S.,,83,114.6,,,,
Arctic Ocean,Concord Point,01-27-15,Ocala Training Center,"$100,000",OBS Championship S.,,79,115.5,,,,
Majestic Affair,Majesticperfection,01-29-15,Laurel Park,"$100,000",Frank Whiteley Jr S.,,94,117.8,,,,
Lindisfarne,City Zip,01-29-15,Laurel Park,"$100,000",Marshua S.,,90,116.6,,,,
Saratoga Dreamer,Elusive Quality,01-30-15,Aqueduct,"$125,000",Rego Park S.,,95,117.6,,,,
Conquest Two Step,Two Step Salsa,01-31-15,Santa Anita Park,"$200,000",Palos Verdes S.,2,108,122.7,,,,
Unitarian,Pulpit,01-31-15,Gulfstream Park,"$75,000",H. Allen Jerkens S.,,107,121.4,,,,
Avanzare,Grand Reward,01-31-15,Santa Anita Park,"$200,000",Arcadia S.,2,99,120.1,,,,
The Great War,War Front,01-31-15,Turfway Park,"$75,000",96Rock S.,,97,118.3,,,,
Ocean Knight,Curlin,01-31-15,Tampa Bay Downs,"$250,000",Sam F. Davis S.,3,95,119.6,,,,
Testa Rossi (FR),Dr Fong,01-31-15,Tampa Bay Downs,"$150,000",Endeavour S.,3,93,118.3,,,,
Callback,Street Sense,01-31-15,Santa Anita Park,"$300,000",Las Virgenes S.,1,93,119.3,,,,
Take Charge Brandi,Giant's Causeway,01-31-15,Oaklawn Park,"$100,000",Martha Washington S.,,87,119.5,,,,
I Am Jane Dough,My Golden Song,01-31-15,Sam Houston,"$50,000",Tomball S.,,85,114.9,,,,
Include Betty,Include,01-31-15,Tampa Bay Downs,"$100,000",Suncoast S.,,82,119.3,,,,
Lord Nelson,Pulpit,02-01-15,Santa Anita Park,"$200,000",San Vicente S.,2,98,117.8,,,,
Persuasive Paul,Olmodavor,02-01-15,Santa Anita Park,"$40,000",Super Bowl Party H.,,94,116.8,,,,
Hard to Stay Notgo,More Than Ready,02-01-15,Aqueduct,"$125,000",Franklin Square S.,,92,119.2,,,,
Divided Attention,A.P. Indy,02-06-15,Aqueduct,"$100,000",Ladies H.,,98,122,,,,
Ivan Fallunovalot,Valid Expectations,02-07-15,Oaklawn Park,"$100,000",King Cotton S.,,106,122,,,,
Salutos Amigos,Salute the Sarge,02-07-15,Aqueduct,"$150,000",Toboggan S.,3,105,123.7,,,,
Valid,Medaglia d'Oro,02-07-15,Gulfstream Park,"$100,000",Fred W. Hooper S.,3,104,121.4,,,,
Shared Belief,Candy Ride (ARG),02-07-15,Santa Anita Park,"$500,000",San Antonio Invitational S.,2,104,123.6,,,,
Constitution,Tapit,02-07-15,Gulfstream Park,"$500,000",Donn H.,1,102,123.7,,,,
Dortmund,Big Brown,02-07-15,Santa Anita Park,"$150,000",Robert B. Lewis S.,3,101,123.1,,,,
Heitai,Fusaichi Pegasus,02-07-15,Delta Downs,"$100,000",LA Bred Premier Night Sprint S.,,100,118.6,,,,
Mshawish,Medaglia d'Oro,02-07-15,Gulfstream Park,"$300,000",Gulfstream Park Turf H.,1,99,119.9,,,,
Sandiva (IRE),Footstepsinthesand (GB),02-07-15,Gulfstream Park,"$150,000",Suwannee River S.,3,99,120,,,,
Amelia's Wild Ride,D'wildcat,02-07-15,Gulfstream Park,"$75,000",Gulfstream Park Turf Sprint S.,,98,118.5,,,,
One King's Man,K One King,02-07-15,Delta Downs,"$200,000",LA Bred Premier Night Championship S.,,96,119,,,,
Far From Over,Blame,02-07-15,Aqueduct,"$250,000",Withers S.,3,96,119,,,,
Finnegans Wake,Powerscourt (GB),02-07-15,Santa Anita Park,"$200,000",San Marcos S.,2,95,120.4,,,,
Tensas Harbor,Private Vow,02-07-15,Delta Downs,"$150,000",LA Bred Premier Night Distaff S.,,90,119.5,,,,
Over a Barrel,Brahms,02-07-15,Delta Downs,"$65,000",LA Bred Premier Night Gentlemen Starter S.,,90,116.9,,,,
Afternoon Tango,Afternoon Deelites,02-07-15,Delta Downs,"$100,000",LA Bred Premier Night Matron S.,,90,116.8,,,,
Mr. L. S. Shoe,Forefathers,02-07-15,Delta Downs,"$125,000",LA Bred Premier Night Prince S.,,90,115.6,,,,
Jslookovrurshoulda,Grand Appointment,02-07-15,Delta Downs,"$50,000",LA Bred Premier Night Ragin Cajun Starter S.,,90,116.9,,,,
Souper Colossal,War Front,02-07-15,Gulfstream Park,"$75,000",Texas Glitter S.,,89,117.1,,,,
Bright Town,Speightstown,02-07-15,Sunland Park,"$50,000",El Diario H.,,88,118.5,,,,
Sharla Rae,Afleet Alex,02-07-15,Golden Gate Fields,"$50,000",California Oaks,,86,116.9,,,,
Queen Peso,My Friend Max,02-07-15,Delta Downs,"$50,000",LA Bred Premier Night Bon Temps Starter S.,,86,115.1,,,,
Zara Lauren,Zanjero,02-07-15,Delta Downs,"$65,000",LA Bred Premier Night Ladies Starter S.,,86,115.9,,,,
Private Promise,Private Vow,02-07-15,Delta Downs,"$125,000",LA Bred Premier Night Starlet S.,,84,115.4,,,,
Meme Jo,Too Much Bling,02-07-15,Sam Houston,"$50,000",Bucharest S.,,80,114,,,,
Birdlover (GB),Byron (GB),02-08-15,Santa Anita Park,"$75,000",Wishing Well S.,,95,118.5,,,,
Lady Sabelia,Majestic Warrior,02-14-15,Laurel Park,"$300,000",Barbara Fritchie H.,2,102,122.7,,,,
Supermason,Grasshopper,02-14-15,Sam Houston,"$75,000",Jim's Orbit S.,,102,117.9,,,,
Golden Lad,Medaglia d'Oro,02-14-15,Oaklawn Park,"$100,000",Essex H.,,100,121.1,,,,
Merry Meadow,Henny Hughes,02-14-15,Gulfstream Park,"$150,000",Hurricane Bertie S.,3,100,122.1,,,,
Page McKenney,Eavesdropper,02-14-15,Laurel Park,"$100,000",John B. Campbell H.,,98,119.7,,,,
Isabelle,Successful Appeal,02-14-15,Aqueduct,"$100,000",Broadway S.,,97,118.9,,,,
Warren's Veneda,Affirmative,02-14-15,Santa Anita Park,"$200,000",Santa Maria S.,2,97,121,,,,
Az Ridge,Toccet,02-14-15,Turf Paradise,"$35,000",Turf Paradise H.,,97,119.1,,,,
Lunar Surge,Malibu Moon,02-14-15,Laurel Park,"$100,000",Maryland Racing Media S.,,95,119.7,,,,
Awesome Flower,Flower Alley,02-14-15,Tampa Bay Downs,"$50,000",Wayward Lass S.,,95,119.7,,,,
I'm Already Sexy,Ready's Image,02-14-15,Gulfstream Park,"$60,000",Cooper City H.,,93,118.2,,,,
Metaboss,Street Boss,02-14-15,Golden Gate Fields,"$200,000",El Camino Real Derby,3,93,118.2,,,,
Absolutely Cool,Absolute Harmony,02-14-15,Turf Paradise,"$75,000",Phoenix Gold Cup H.,,93,117.8,,,,
Magna Breeze,Magna Graduate,02-14-15,Sam Houston,"$50,000",Jersey Village Turf S.,,92,117.4,,,,
Promise Me Silver,Silver City,02-14-15,Sam Houston,"$75,000",Two Altazano S.,,92,117.3,,,,
She's a Big Winner,Bellamy Road,02-14-15,Santa Anita Park,"$75,000",Sweet Life S.,,89,116.7,,,,
Lady Rosberg,Rosberg,02-14-15,Turf Paradise,"$35,000",Sun City  H.,,84,116.7,,,,
Renewed Vows,Attila's Storm,02-14-15,Sunland Park,"$85,000",Peppers Pride H.,,77,113.3,,,,
Mufajaah,Tapit,02-15-15,Oaklawn Park,"$100,000",Bayakoa S.,3,97,121.4,,,,
Bench Warrant,Street Boss,02-15-15,Santa Anita Park,"$75,000",Baffle S.,,88,117,,,,
Misconnect,Unbridled's Song,02-16-15,Laurel Park,"$250,000",General George H.,3,100,120.9,,,,
Diversy Harbor,Curlin,02-16-15,Santa Anita Park,"$200,000",Buena Vista S.,2,98,119.1,,,,
Marino's Wild Cat,Marino Marini,02-16-15,Golden Gate Fields,"$50,000",Lost in the Fog S.,,96,118.5,,,,
Gypsy Judy,Kitalpha,02-16-15,Laurel Park,"$100,000",Wide Country S.,,93,117.9,,,,
Savvy Street,Street Sense,02-16-15,Laurel Park,"$100,000",Miracle Wood S.,,90,115.7,,,,
Divine Beauty,Divine Park,02-17-15,Fair Grounds,"$60,000",Mardi Gras S.,,96,118.8,,,,
House Rules,Distorted Humor,02-21-15,Gulfstream Park,"$100,000",Rampart S.,3,108,121.7,,,,
Ekati's Phaeton,Tale of Ekati,02-21-15,Gulfstream Park,"$200,000",Davona Dale S.,2,104,122.6,,,,
Long On Value,Value Plus,02-21-15,Gulfstream Park,"$150,000",Canadian Turf S.,3,100,120.5,,,,
Chocolate Ride,Candy Ride (ARG),02-21-15,Fair Grounds,"$125,000",Fair Grounds H.,3,100,119,,,,
Main Sequence,Aldebaran,02-21-15,Gulfstream Park,"$200,000",Mac Diarmida S.,2,100,119.7,,,,
C. Zee,Elusive Bluff,02-21-15,Gulfstream Park,"$100,000",Gulfstream Park Sprint S.,3,99,122,,,,
Street Babe,Street Sense,02-21-15,Fair Grounds,"$125,000",Mineshaft H.,3,99,121,,,,
Spring Included,Include,02-21-15,Oaklawn Park,"$100,000",Spring Fever S.,,99,119.7,,,,
Bettys Bambino,Unusual Heat,02-21-15,Santa Anita Park,"$100,000",Sensational Star S.,,98,119.5,,,,
Eden Prairie,Mizzen Mast,02-21-15,Fair Grounds,"$60,000",Bayou S.,,97,119.3,,,,
Condo Commando,Tiz Wonderful,02-21-15,Aqueduct,"$100,000",Busher S.,,97,121.9,,,,
International Star,Fusaichi Pegasus,02-21-15,Fair Grounds,"$400,000",Risen Star S.,2,97,118.5,,,,
Ghost Is Clear,Ghostzapper,02-21-15,Sam Houston,"$50,000",Sam Houston Sprint Cup S.,,97,117.9,,,,
Bet Seattle,Seattle Fitz (ARG),02-21-15,Fair Grounds,"$60,000",Duncan F. Kenner S.,,96,121.2,,,,
Jewel of a Cat,Wildcat Heir,02-21-15,Gulfstream Park,"$75,000",Ladies Turf Sprint S.,,96,118,,,,
I'm a Chatterbox,Munnings,02-21-15,Fair Grounds,"$175,000",Rachel Alexandra S.,3,96,120,,,,
You Bought Her,Graeme Hall,02-21-15,Tampa Bay Downs,"$50,000",Minaret S.,,94,120.8,,,,
Where's the Moon,Malibu Moon,02-21-15,Sunland Park,"$100,000",Mine That Bird Derby,,94,116.9,,,,
Itsaknockout,Lemon Drop Kid,02-21-15,Gulfstream Park,"$400,000",Fountain of Youth S.,2,91,118.5,,,,
Irish Mission,Giant's Causeway,02-21-15,Gulfstream Park,"$150,000",The Very One S.,3,87,119.7,,,,
Why Two,Bob and John,02-21-15,Turf Paradise,"$75,000",Turf Paradise Derby,,85,115.5,,,,
S U M Racer,First Defence,02-21-15,Turf Paradise,"$35,000",Arizona Oaks,,72,112.8,,,,
North Slope,Elusive Quality,02-22-15,Aqueduct,"$100,000",Evening Attire S.,,103,121.5,,,,
Distinctiv Passion,With Distinction,02-22-15,Santa Anita Park,"$75,000",Joe Hernandez S.,,99,121.2,,,,
Far Right,Notional,02-22-15,Oaklawn Park,"$300,000",Southwest S.,3,93,118.5,,,,
Suva Harbor,Rockport Harbor,02-22-15,Sunland Park,"$50,000",Island Fashion S.,,83,115.3,,,,
Spanish Pipedream,Scat Daddy,02-22-15,Turfway Park,"$75,000",Cincinnati Trophy S.,,79,115.4,,,,
Royal Son,Tiznow,02-28-15,Turfway Park,"$125,000",John Battaglia Memorial S.,,103,120.5,,,,
Rebranded,Tiznow,02-28-15,Sunland Park,"$50,000",Curribot H.,,96,118.6,,,,
Albano,Istan,02-28-15,Sam Houston,"$100,000",Maxxam Gold Cup S.,,95,118.5,,,,
Stellar Wind,Curlin,02-28-15,Santa Anita Park,"$100,000",Santa Ysabel S.,3,95,119.7,,,,
Tuba,Magna Graduate,02-28-15,Fair Grounds,"$60,000",Black Gold S.,,91,115.3,,,,
McGehee's Mercy,Afleet Alex,02-28-15,Fair Grounds,"$60,000",Dixie Poker Ace S.,,88,118.7,,,,
Kitten's Queen,Kitten's Joy,02-28-15,Sam Houston,"$50,000",Jersey Lilly S.,,88,117.9,,,,
Devine Aida,Unbridled's Song,02-28-15,Gulfstream Park,"$150,000",Herecomesthebride S.,,87,120.7,,,,
A Day in Paradise,Yes It's True,02-28-15,Sam Houston,"$50,000",Texas Heritage S.,,85,114.1,,,,
Materiality,Afleet Alex,03-06-15,Gulfstream Park,"$60,000",Islamorada H.,,100,120.1,,,,
Pistolpackinpenny,Portobello Road,03-06-15,Oaklawn Park,"$75,000",Downthedustyroad Breeders S.,,92,117.5,,,,
Sibling War,Brother Derek,03-06-15,Delta Downs,"$100,000",Azalea S.,,90,118.8,,,,
Ike Walker,Bellamy Road,03-06-15,Fair Grounds,"$40,000",South Mississippi Owners and Breeders S.,,83,113.9,,,,
Salutos Amigos,Salute the Sarge,03-07-15,Aqueduct,"$200,000",Tom Fool H.,3,114,123.1,,,,
Ready for Rye,City Zip,03-07-15,Gulfstream Park,"$200,000",Swale S.,2,110,121.8,,,,
Gentlemen's Bet,Half Ours,03-07-15,Oaklawn Park,"$100,000",Hot Springs S.,,109,122.5,,,,
Shared Belief,Candy Ride (ARG),03-07-15,Santa Anita Park,"$1,000,000",Santa Anita H.,1,105,123,,,,
Honor Code,A.P. Indy,03-07-15,Gulfstream Park,"$300,000",Gulfstream Park H.,2,103,121.9,,,,
Ring Weekend,Tapit,03-07-15,Santa Anita Park,"$400,000",Frank E. Kilroe Mile S.,1,102,121,,,,
Dortmund,Big Brown,03-07-15,Santa Anita Park,"$400,000",San Felipe S.,2,102,121.1,,,,
General a Rod,Roman Ruler,03-07-15,Tampa Bay Downs,"$60,000",Challenger S.,,99,121.6,,,,
Wild Dude,Wildcat Heir,03-07-15,Santa Anita Park,"$250,000",San Carlos S.,2,98,121,,,,
Stephanie's Kitten,Kitten's Joy,03-07-15,Tampa Bay Downs,"$150,000",Hillsborough S.,3,96,120.5,,,,
Carpe Diem,Giant's Causeway,03-07-15,Tampa Bay Downs,"$350,000",Tampa Bay Derby,2,96,122.2,,,,
El Kabeir,Scat Daddy,03-07-15,Aqueduct,"$400,000",Gotham S.,3,95,119.3,,,,
Quality Rocks,Rock Hard Ten,03-07-15,Tampa Bay Downs,"$200,000",Florida Oaks,3,92,117,,,,
Singing Kitty,Ministers Wild Cat,03-07-15,Santa Anita Park,"$75,000",China Doll S.,,90,118.2,,,,
Shayjolie,Indian Charlie,03-07-15,Aqueduct,"$100,000",Cat Cay S.,,88,119.1,,,,
Infinite Bull,King Bull,03-07-15,Sunland Park,"$85,000",Mt. Cristo Rey H.,,88,114.8,,,,
Mizz Money,Mizzen Mast,03-07-15,Fair Grounds,"$60,000",Allen LaCombe Memorial S.,,86,115.2,,,,
Sarah Sis,Sharp Humor,03-07-15,Oaklawn Park,"$150,000",Honeybee S.,3,86,118.9,,,,
Cat Sup,Discreet Cat,03-07-15,Delta Downs,"$100,000",Pelican S.,,82,114.7,,,,
Eh Cumpari,Elusive Quality,03-07-15,Gulfstream Park,"$150,000",Palm Beach S.,3,79,115.6,,,,
Ackeret,Mach Ride,03-08-15,Aqueduct,"$100,000",Jimmy Winkfield S.,,95,118.5,,,,
We Be Stormin,Storm and a Half,03-08-15,Oaklawn Park,"$75,000",Nodouble Breeders S.,,94,116.2,,,,
Harlington's Rose,Harlington,03-08-15,Santa Anita Park,"$100,000",Las Flores S.,3,91,118.8,,,,
Run Hide My Girl,Run Away and Hide,03-13-15,Delta Downs,"$75,000",Gold Coast S.,,94,117.6,,,,
Race Day,Tapit,03-14-15,Oaklawn Park,"$250,000",Razorback H.,3,104,122.5,,,,
Taylor S,Medaglia d'Oro,03-14-15,Gulfstream Park,"$75,000",Any Limit S.,,102,120.7,,,,
Warren's Veneda,Affirmative,03-14-15,Santa Anita Park,"$400,000",Santa Margarita S.,1,100,123.4,,,,
American Pharoah,Pioneerof the Nile,03-14-15,Oaklawn Park,"$750,000",Rebel S.,2,99,120.3,,,,
Gold Medal Dancer,Medaglia d'Oro,03-14-15,Oaklawn Park,"$300,000",Azeri S.,2,98,121.4,,,,
Mamdooha,Daaher,03-14-15,Aqueduct,"$100,000",Correction S.,,94,118.2,,,,
Living The Life (IRE),Footstepsinthesand (GB),03-14-15,Golden Gate Fields,"$50,000",Camilla Urso S.,,93,119.1,,,,
Bellarmine,Magna Graduate,03-14-15,Delta Downs,"$75,000",Borgata S.,,90,118.8,,,,
Go West Marie,Western Fame,03-14-15,Santa Anita Park,"$100,000",Irish O'Brien S.,,90,117.9,,,,
Power Alert (AUS),Alert (ARG),03-14-15,Gulfstream Park,"$75,000",Silks Run S.,,88,119,,,,
Proceed,Desert God,03-14-15,Sunland Park,"$85,000",New Mexico State University H.,,82,115.2,,,,
Ride Hard Kowboy,Kodiak Kowboy,03-14-15,Turf Paradise,"$35,000",Tempe H.,,82,113.8,,,,
Star's Woman,Elusive Quality,03-14-15,Turf Paradise,"$35,000",Scottsdale H.,,72,111.5,,,,
Hoop of Colour,Distorted Humor,03-15-15,Santa Anita Park,"$200,000",Santa Ana S.,2,97,119.6,,,,
Noble and a Beauty,Noble Causeway,03-15-15,Aqueduct,"$100,000",Cicada S.,,94,119.9,,,,
Free as a Bird,Hard Spun,03-18-15,Gulfstream Park,"$60,000",Captiva Island H.,,91,117.9,,,,
Ashleyluvssugar,Game Plan,03-21-15,Santa Anita Park,"$200,000",San Luis Rey S.,2,108,121.6,,,,
