13,Alydar,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
14,Alysheba,Alydar,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
15,Alzao,Lyphard,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
16,American Chance,Cure the Blues,Stop the Music,Hail to Reason,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
17,Andromeda's Hero,Fusaichi Pegasus,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
18,Anees,Unbridled,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
19,Any Given Saturday,Distorted Humor,Forty Niner,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,1,0,0,0,0,0,Forty Niner
20,Apalachee,Round Table,Princequillo,Prince Rose,Rose Prince,Prince Palatine,Persimmon,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
21,Aptitude,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
22,Aragorn,Giant's Causeway,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
23,Arazi,Blushing Groom,Red God,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,0,0,1,0,0,0,Blushing Groom,0,0,0,0,0,0,0,0,0,Blushing Groom
24,Arch,Kris S,Roberto,Hail to Reason,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
25,Armageddon,Alsab,+,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
26,Artie Schiller,El Prado,Sadler's Wells,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,1,0,0,0,Sadler's Wells
27,Arts and Letters,Ribot,Tenerani,Belliini,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
28,At the Threshold,Norcliffe,Buckpasser,Tom Fool,Menow,Pharamond,Phalaris,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
29,Atan,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
30,Atticus,Nureyev,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
31,Attila's Storm,Forest Wildcat,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
32,Awesome Again,Deputy Minister,Vice Regent,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,1,0,0,Deputy Minister
33,Awesome Of Course,Awesome Again,Deputy Minister,Vice Regent,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,1,0,0,Deputy Minister
34,Badge Of Silver,Silver Deputy,Deputy Minister,Vice Regent,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,1,0,0,Deputy Minister
35,Bailjumper,Damascus,Sword Dancer,Sunglow,Sun Again,Sun Teddy,Teddy,Ajax,Flying Fox,Orme,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
36,Bandini,Fusaichi Pegasus,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
37,Batonnier,His Majesty,Ribot,Tenerani,Belliini,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
38,Battle Joined,Armageddon,Alsab,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
39,Be My Guest,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
40,Bellamy Road,Concerto,Chief's Crown,Danzig,,,,,,,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,1,-1,Other
41,Belong to Me,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
42,Benchmark,Alydar,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
43,Bernardini,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
44,Bernstein,Storm Cat,Storm Bird,Northern Dancer,,,,,,,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
45,Bertolini,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
46,Bertrando,Skywalker,Relaunch,In Reality,Intentionally,Intent,War Relic,Man'o'War,Fair Play,+,0,0,0,0,0,0,1,0,0,0,0,In Reality,0,0,0,0,0,0,0,0,0,In Reality
47,Best Minister,Deputy Minister,Vice Regent,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,1,0,0,Deputy Minister
48,Best of the Bests,Machiavellian,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
49,Best Turn,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
50,Big Brown,Boundary,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
51,Birdstone,Grindstone,Unbridled,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
52,Black Mambo,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
53,Blame,Arch,Kris S,Roberto,Hail to Reason,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
54,Bluegrass Cat,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
55,Blushing Groom,Red God,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,1,0,0,0,Blushing Groom,0,0,0,0,0,0,0,0,0,Blushing Groom
56,Bob And John,Seeking the Gold,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
57,Bois Roussel,Vatout,+,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
58,Bold Bidder,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
59,Bold Commander,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
60,Bold Lad,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
61,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
62,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
63,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
64,Borrego,El Prado,Sadler's Wells,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,1,0,0,0,Sadler's Wells
65,Boundary,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
66,Brahms,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
67,Bring The Heat,In Excess,Siberian Express,Caro,Fortino,Grey Sovereign,Nasrullah,Nearco,Pharos,Phalaris,0,0,0,0,0,0,0,0,1,0,0,Caro,0,0,0,0,0,0,0,0,0,Caro
68,Broad Brush,Ack Ack,Battle Joined,Armageddon,Alsab,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
69,Broken Vow,Unbridled,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
70,Brother Derek,Benchmark,Alydar,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
71,Buckaroo,Buckpasser,Tom Fool,Menow,Pharamond,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
72,Buckpasser,Tom Fool,Menow,Pharamond,Phalaris,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
73,Burning Roma,Rubiano,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
74,Bwana Charlie,Indian Charlie,In Excess,Siberian Express,Caro,Fortino,Grey Sovereign,Nasrullah,Nearco,Pharos,0,0,0,0,0,0,0,0,1,0,0,Caro,0,0,0,0,0,0,0,0,0,Caro
75,Cactus Ridge,Hennessy,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
76,Candy Ride,Ride the Rails,Cryptoclearance,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
77,Candy Stripes,Blushing Groom,Red God,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,0,0,1,0,0,0,Blushing Groom,0,0,0,0,0,0,0,0,0,Blushing Groom
78,Cannonade,Bold Bidder,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
79,Cape Town,Seeking the Gold,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
80,Capote,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
81,Caro,Fortino,Grey Sovereign,Nasrullah,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,0,0,0,1,0,0,Caro,0,0,0,0,0,0,0,0,0,Caro
82,Carson City,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
83,Cat Thief,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
84,Catienus,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
85,Cee's Tizzy,Relaunch,In Reality,Intentionally,Intent,War Relic,Man'o'War,Fair Play,+,+,0,0,0,0,0,0,1,0,0,0,0,In Reality,0,0,0,0,0,0,0,0,0,In Reality
86,Chapel Royal,Montbrook,Buckaroo,Buckpasser,Tom Fool,Menow,Pharamond,Phalaris,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
87,Charismatic,Summer Squall,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
88,Cherokee Run,Runaway Groom,Blushing Groom,Red God,Nasrullah,Nearco,Pharos,Phalaris,+,+,0,0,0,0,0,0,0,1,0,0,0,Blushing Groom,0,0,0,0,0,0,0,0,0,Blushing Groom
89,Chester House,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
90,Chief's Crown,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
91,Choisir,Danehill Dancer,Danehill,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
92,Circular Quay,Thunder Gulch,Gulch,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
93,Citidancer,Dixieland Band,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
94,City Place,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
95,City Zip,Carson City,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
96,Clever Trick,Icecapade,Nearctic,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
97,Closing Argument,Successful Appeal,Valid Appeal,In Reality,Intentionally,Intent,War Relic,Man'o'War,Fair Play,+,0,0,0,0,0,0,1,0,0,0,0,In Reality,0,0,0,0,0,0,0,0,0,In Reality
98,Colonel John,Tiznow,Cee's Tizzy,Relaunch,In Reality,Intentionally,Intent,War Relic,Man'o'War,Fair Play,0,0,0,0,0,0,1,0,0,0,0,In Reality,0,0,0,0,0,0,0,0,0,In Reality
99,Comic Strip,Red Ransom,Roberto,Hail to Reason,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
100,Comprise,Include,Broad Brush,Ack Ack,Battle Joined,Armageddon,Alsab,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
101,Concerto,Chief's Crown,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
102,Concord Point,Tapit,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
103,Concorde Bound,Super Concorde,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
104,Concorde's Tune,Concorde Bound,Super Concorde,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,0,0,0,0,0,0,0,0,0,1,0,Bold Ruler,0,0,0,0,0,0,0,0,0,Bold Ruler
105,Congaree,Arazi,Blushing Groom,Red God,Nasrullah,Nearco,Pharos,Phalaris,+,+,0,0,0,0,0,0,0,1,0,0,0,Blushing Groom,0,0,0,0,0,0,0,0,0,Blushing Groom
106,Congrats,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
107,Conquistador Cielo,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
108,Corinthian,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
109,Cormorant,His Majesty,Ribot,Tenerani,Belliini,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
110,Coronado's Quest,Forty Niner,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,1,0,0,0,0,0,Forty Niner
111,Cougar,Tale Of Two Cities (Gb),Tehran,Bois Roussel,Vatout,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
112,Cox's Ridge,Best Turn,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
113,Cozzene,Caro,Fortino,Grey Sovereign,Nasrullah,Nearco,Pharos,Phalaris,+,+,0,0,0,0,0,0,0,0,1,0,0,Caro,0,0,0,0,0,0,0,0,0,Caro
114,Crafty Prospector,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
115,Crusader Sword,Damascus,Sword Dancer,Sunglow,Sun Again,Sun Teddy,Teddy,Ajax,Flying Fox,Orme,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
116,Cryptoclearance,Fappiano,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,1,0,0,0,0,0,0,0,0,Fappiano,1,0,0,0,0,0,0,0,0,Fappiano
117,Cure the Blues,Stop the Music,Hail to Reason,Turn-To,Royal Charger,Nearco,Pharos,Phalaris,+,+,0,0,0,0,0,1,0,0,0,0,0,Turn-To,0,0,0,0,0,0,0,0,0,Turn-To
118,Curlin,Smart Strike,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,1,0,0,0,0,0,0,Smart Strike
119,Cuvee,Carson City,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
120,Dalakhani,Darshaan,Shirley Heights,Mill Reef,Never Bend,Nasrullah,Nearco,Pharos,Phalaris,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
121,Damascus,Sword Dancer,Sunglow,Sun Again,Sun Teddy,Teddy,Ajax,Flying Fox,Orme,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
122,Dan Cupid,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
123,Dance with Ravens,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
124,Danehill,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
125,Danehill Dancer,Danehill,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
126,Dansili,Danehill,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
127,Danzig,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,1,0,Danzig
